Name,p1_head,p1_neck,p1_body,p1_r_arm_up,p1_r_arm_low,p1_r_hand,p1_l_arm_up,p1_l_arm_low,p1_l_hand,p1_r_leg_up,p1_r_leg_low,p1_r_foot,p1_l_leg_up,p1_l_leg_low,p1_l_foot,p1_main_weapon,p1_sub_weapon,p1_special_1,p1_special_2,p1_special_3,p1_special_4,p1_special_5,p1_special_6,p1_special_7,p1_special_8,p1_special_9,p1_special_10,p2_head,p2_neck,p2_body,p2_r_arm_up,p2_r_arm_low,p2_r_hand,p2_l_arm_up,p2_l_arm_low,p2_l_hand,p2_r_leg_up,p2_r_leg_low,p2_r_foot,p2_l_leg_up,p2_l_leg_low,p2_l_foot,p2_main_weapon,p2_sub_weapon,p2_special_1,p2_special_2,p2_special_3,p2_special_4,p2_special_5,p2_special_6,p2_special_7,p2_special_8,p2_special_9,p2_special_10,p3_head,p3_neck,p3_body,p3_r_arm_up,p3_r_arm_low,p3_r_hand,p3_l_arm_up,p3_l_arm_low,p3_l_hand,p3_r_leg_up,p3_r_leg_low,p3_r_foot,p3_l_leg_up,p3_l_leg_low,p3_l_foot,p3_main_weapon,p3_sub_weapon,p3_special_1,p3_special_2,p3_special_3,p3_special_4,p3_special_5,p3_special_6,p3_special_7,p3_special_8,p3_special_9,p3_special_10,p4_head,p4_neck,p4_body,p4_r_arm_up,p4_r_arm_low,p4_r_hand,p4_l_arm_up,p4_l_arm_low,p4_l_hand,p4_r_leg_up,p4_r_leg_low,p4_r_foot,p4_l_leg_up,p4_l_leg_low,p4_l_foot,p4_main_weapon,p4_sub_weapon,p4_special_1,p4_special_2,p4_special_3,p4_special_4,p4_special_5,p4_special_6,p4_special_7,p4_special_8,p4_special_9,p4_special_10,effect_1,effect_2,effect_3,effect_4,effect_5,effect_6,effect_7,effect_8,frame_property,animation_property,sound_effect
EXCLUDE_Thumbup/0,"Miquella,Joke_happy,-12,-424,6,0,7,1,1,0","Miquella,Neck,1,-393,11,0,10,1,1,0","Miquella,Body,-5,-280,0,0,12,1,1,0","Miquella,Arm Up,-65,-312,-21,0,8,1,1,0","Miquella,Arm Low,-25,-311,114,0,7,1,1,0","Miquella,Thumb_up_ring,27,-353,124,0,6,1,1,0","Miquella,Arm Up,53,-326,28,1,15,1,1,0","Miquella,Arm Low,95,-249,26,1,14,1,1,0","Miquella,Open,128,-180,29,1,13,1,1,0","Miquella,Leg Up,3,-108,0,0,14,1,1,0",,"Miquella,Foot,-57,-1,6.4,1,17,1,1,0",,,"Miquella,Foot_2,58,1,10.5,0,19,1,1,0",,,"Miquella,Rope,12,-152,1,0,10,1,1,0","Miquella,Hair_back,-25,-216,-5,0,26,1,1,0","Miquella,Hair_outer,-88,-243,2,0,25,1,1,0","Miquella,Hair_inner,58,-243,-5,0,26,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXCLUDE_comicicon3/0,"Miquella,Smile2,-30,-420,19,0,7,1,1,0","Miquella,Neck,-15,-402,15,0,11,0.9,0.9,0","Miquella,Body,-12,-280,3,0,12,0.9,0.9,0","Miquella,Arm Up,-71,-318,-15,0,8,0.9,0.9,0","Miquella,Arm Low,-36,-329,127,0,7,0.9,0.9,0","Miquella,Open_ring,21,-373,125,0,6,0.9,0.9,0","Miquella,Arm Up,50,-324,18,1,15,0.9,0.9,0","Miquella,Arm Low,77,-238,15,1,14,0.9,0.9,0","Miquella,Open,96,-165,21,1,13,0.9,0.9,0","Miquella,Leg Up,3,-114,2,0,12,0.9,0.9,0",,"Miquella,Foot,-60,-15,-4.6,1,17,0.9,0.9,0",,,"Miquella,Foot_2,54,-14,9.5,0,19,0.9,0.9,0",,,"Miquella,Rope,8,-179,0,0,10,0.9,0.9,0","Miquella,Hair_back,-32,-212,-6,0,26,1,1,0","Miquella,Hair_outer,-92,-238,2,0,25,1,1,0","Miquella,Hair_inner,54,-238,-7,0,26,1,1,0","Item,Golden Goblet,33,-365,32,0,7,0.9,0.9,0",,,,,,"Eldenbeast_doll,Head,62,-604,-43,0,6,1,1,0","Eldenbeast_doll,Neck,15,-582,-36,0,7,1,1,0","Eldenbeast_doll,Body,-99,-510,-41,0,8,1,1,0","Eldenbeast_doll,Arm Up,-73,-510,9,0,7,1,1,0","Eldenbeast_doll,Arm Low,-45,-486,111,0,6,1,1,0","Eldenbeast_doll,Hand,10,-494,69,0,7,1,1,0","Eldenbeast_doll,Arm Up,-17,-472,26,0,9,1,1,0","Eldenbeast_doll,Arm Low,-5,-410,27,0,11,1,1,0","Eldenbeast_doll,Hand,7,-364,34,0,12,1,1,0","Eldenbeast_doll,Leg Up,-123,-398,18,0,27,1,1,0",,,,,,,,"Eldenbeast_doll,Tail,-150,-359,-26,0,28,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXCLUDE_Rest/0,"Miquella,Smile_eye_close,-82,-247,59,0,7,1,1,0","Miquella,Neck,-58,-251,49,0,11,1,1,0","Miquella,Body,3,-160,35,0,12,1,1,0","Miquella,Arm Up,-52,-153,30,0,8,1,1,0","Miquella,Arm Low,3,-92,51,0,7,1,1,0","Miquella,Open_ring,53,-38,49,0,6,1,1,0","Miquella,Arm Up,22,-223,53,1,15,1,1,0","Miquella,Arm Low,88,-181,58,1,14,1,1,0","Miquella,Open,154,-143,69,1,13,1,1,0","Miquella,Leg Up,126,-41,50,0,13,1,1,0",,"Miquella,Foot,192,58,-2.6,0,17,1,1,0",,,"Miquella,Foot_2,244,-2,28.5,0,19,1,1,0",,,"Miquella,Rope,71,-105,19,0,10,1,1,0","Miquella,Hair_back,38,-103,46,0,26,1,1,0","Miquella,Hair_outer,-4,-53,45,0,25,1,1,0","Miquella,Hair_inner,88,-193,45,0,26,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bigmiq_Arrive/0,"Miquella,Joke_happy,-26,-841,-1,0,7,2,2,0","Miquella,Neck,-13,-818,6,0,10,2,2,0","Miquella,Body,-26,-595,-1,0,12,2,2,0","Miquella,Arm Up_high,-216,-722,-94,0,8,2,2,0","Miquella,Arm Low,-397,-739,-99,0,7,2,2,0","Miquella,Open_ring,-540,-804,-142,0,7,2,2,0","Miquella,Arm Up,126,-717,95,1,15,2,2,0","Miquella,Arm Low,313,-730,94,1,14,2,2,0","Miquella,Open,450,-787,144,1,13,2,2,0","Miquella,Leg Up,-11,-249,0,0,11,2,2,0",,"Miquella,Foot,-148,-32,2.4,1,17,2,2,0",,,"Miquella,Foot_2,116,-29,11.5,0,19,2,2,0",,,"Miquella,Rope,20,-318,1,0,10,2,2,0","Miquella,Hair_back,-149,-487,-12,0,26,2,2,0","Miquella,Hair_outer,-278,-528,-13,0,25,2,2,0","Miquella,Hair_inner,-6,-471,-27,0,26,2,2,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bigmiq_Arrive/1,"Miquella,Joke_happy,-28,-864,0,0,7,2,2,0","Miquella,Neck,-13,-833,6,0,10,2,2,0","Miquella,Body,-26,-617,-1,0,12,2,2,0","Miquella,Arm Up_high,-225,-744,-97,0,8,2,2,0","Miquella,Arm Low,-392,-775,-100,0,7,2,2,0","Miquella,Open_ring,-530,-839,-142,0,7,2,2,0","Miquella,Arm Up,140,-738,95,1,15,2,2,0","Miquella,Arm Low,306,-768,103,1,14,2,2,0","Miquella,Open,433,-843,147,1,13,2,2,0","Miquella,Leg Up,-11,-272,0,0,11,2,2,0",,"Miquella,Foot,-148,-54,2.4,1,17,2,2,0",,,"Miquella,Foot_2,116,-52,11.5,0,19,2,2,0",,,"Miquella,Rope,20,-330,1,0,10,2,2,0","Miquella,Hair_back,-149,-512,-13,0,26,2,2,0","Miquella,Hair_outer,-278,-553,-14,0,25,2,2,0","Miquella,Hair_inner,-6,-496,-28,0,26,2,2,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bigmiq_Arrive/2,"Miquella,Joke_happy,-28,-896,3,0,6,2,2,0","Miquella,Neck,-8,-857,6,0,9,2,2,0","Miquella,Body,-26,-640,-1,0,11,2,2,0","Miquella,Arm Up_high,-218,-774,-99,0,7,2,2,0","Miquella,Arm Low,-386,-811,-105,0,6,2,2,0","Miquella,Open_ring,-513,-887,-142,0,6,2,2,0","Miquella,Arm Up,117,-770,98,1,14,2,2,0","Miquella,Arm Low,293,-811,104,1,13,2,2,0","Miquella,Open,420,-884,147,1,12,2,2,0","Miquella,Leg Up,-11,-294,0,0,10,2,2,0",,"Miquella,Foot,-148,-76,2.4,1,16,2,2,0",,,"Miquella,Foot_2,116,-74,11.5,0,18,2,2,0",,,"Miquella,Rope,20,-407,1,0,9,2,2,0","Miquella,Hair_back,-160,-540,-13,0,25,2,2,0","Miquella,Hair_outer,-292,-584,-16,0,24,2,2,0","Miquella,Hair_inner,-14,-523,-29,0,25,2,2,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bigmiq_Arrive/3,"Miquella,Joke_happy,-28,-914,0,0,7,2,2,0","Miquella,Neck,-13,-893,6,0,10,2,2,0","Miquella,Body,-26,-626,-1,0,12,2,2,0","Miquella,Arm Up_high,-220,-795,-89,0,8,2,2,0","Miquella,Arm Low,-388,-814,-100,0,7,2,2,0","Miquella,Open_ring,-515,-879,-142,0,7,2,2,0","Miquella,Arm Up,117,-800,93,1,15,2,2,0","Miquella,Arm Low,313,-819,97,1,14,2,2,0","Miquella,Open,457,-886,147,1,13,2,2,0","Miquella,Leg Up,-11,-282,0,0,11,2,2,0",,"Miquella,Foot,-148,-64,2.4,1,17,2,2,0",,,"Miquella,Foot_2,116,-62,11.5,0,19,2,2,0",,,"Miquella,Rope,20,-394,1,0,10,2,2,0","Miquella,Hair_back,-149,-562,-13,0,26,2,2,0","Miquella,Hair_outer,-278,-603,-14,0,25,2,2,0","Miquella,Hair_inner,-6,-546,-28,0,26,2,2,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bigmiq_Arrive/4,"Miquella,Joke_happy,-26,-876,-1,0,7,2,2,0","Miquella,Neck,-13,-858,6,0,10,2,2,0","Miquella,Body,-26,-594,-1,0,12,2,2,0","Miquella,Arm Up_high,-220,-765,-88,0,8,2,2,0","Miquella,Arm Low,-404,-782,-99,0,7,2,2,0","Miquella,Open_ring,-531,-844,-142,0,7,2,2,0","Miquella,Arm Up,117,-763,90,1,15,2,2,0","Miquella,Arm Low,313,-778,96,1,14,2,2,0","Miquella,Open,457,-847,147,1,13,2,2,0","Miquella,Leg Up,-11,-249,0,0,11,2,2,0",,"Miquella,Foot,-148,-32,2.4,1,17,2,2,0",,,"Miquella,Foot_2,116,-29,11.5,0,19,2,2,0",,,"Miquella,Rope,20,-361,1,0,10,2,2,0","Miquella,Hair_back,-149,-522,-12,0,26,2,2,0","Miquella,Hair_outer,-278,-563,-13,0,25,2,2,0","Miquella,Hair_inner,-6,-506,-27,0,26,2,2,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bigmiq_Arrive/5,"Miquella,Joke_happy,-26,-859,-1,0,7,2,2,0","Miquella,Neck,-13,-836,6,0,10,2,2,0","Miquella,Body,-26,-574,-1,0,12,2,2,0","Miquella,Arm Up_high,-218,-742,-88,0,8,2,2,0","Miquella,Arm Low,-404,-745,-93,0,7,2,2,0","Miquella,Open_ring,-549,-798,-138,0,7,2,2,0","Miquella,Arm Up,117,-736,81,1,15,2,2,0","Miquella,Arm Low,312,-721,88,1,14,2,2,0","Miquella,Open,449,-761,140,1,13,2,2,0","Miquella,Leg Up,-11,-227,0,0,11,2,2,0",,"Miquella,Foot,-148,-9,2.4,1,17,2,2,0",,,"Miquella,Foot_2,116,-7,11.5,0,19,2,2,0",,,"Miquella,Rope,20,-341,1,0,10,2,2,0","Miquella,Hair_back,-149,-505,-12,0,26,2,2,0","Miquella,Hair_outer,-278,-546,-13,0,25,2,2,0","Miquella,Hair_inner,-6,-489,-27,0,26,2,2,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bigmiq_Arrive_End/0,"Miquella,Joke,-26,-881,-1,0,7,2,2,0","Miquella,Neck,-13,-858,6,0,10,2,2,0","Miquella,Body,-26,-596,-1,0,12,2,2,0","Miquella,Arm Up_high,-218,-761,-91,0,8,2,2,0","Miquella,Arm Low,-404,-767,-93,0,7,2,2,0","Miquella,Open_ring,-549,-820,-138,0,7,2,2,0","Miquella,Arm Up,117,-758,81,1,15,2,2,0","Miquella,Arm Low,312,-743,88,1,14,2,2,0","Miquella,Open,449,-783,140,1,13,2,2,0","Miquella,Leg Up,-11,-227,0,0,11,2,2,0",,"Miquella,Foot,-148,-9,2.4,1,17,2,2,0",,,"Miquella,Foot_2,116,-7,11.5,0,19,2,2,0",,,"Miquella,Rope,20,-363,1,0,10,2,2,0","Miquella,Hair_back,-149,-527,-12,0,26,2,2,0","Miquella,Hair_outer,-278,-568,-13,0,25,2,2,0","Miquella,Hair_inner,-6,-511,-27,0,26,2,2,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
